code,checker name,notebooks1,notebooks2,notebooks,notebooks per 100000 lines,projects1,projects2,projects,projects per 100000 lines,total,notebook2 tp(10),project2 tp (10)
C5501,import-pandas,4,0,4,0.4,32,0,32,2.4,36,0/0,0/0
C5502,import-numpy,7,6,13,1.4,256,19,275,20.9,288,6/6,10/10
C5503,import-pyplot,2,0,2,0.2,1,0,1,0.1,3,0/0,0/0
C5504,import-sklearn,9,19,28,3.1,1,3,4,0.3,32,10/10,3/3
C5505,import-tensorflow,0,4,4,0.4,4,0,4,0.3,8,4/4,0/0
C5506,import-pytorch,2,0,2,0.2,0,3,3,0.2,5,0/0,3/3
R5501,unnecessary-iteration-pandas,8,15,23,2.6,3,0,3,0.2,26,6/10,0/0
W5501,dataframe-iteration-modification-pandas,0,0,0,0.0,0,0,0,0.0,0,0/0,0/0
R5502,unnecessary-iteration-tensorflow,0,0,0,0.0,0,0,0,0.0,0,0/0,0/0
E5501,nan-numpy,7,0,7,0.8,0,0,0,0.0,7,0/0,0/0
W5502,chain-indexing-pandas,73,22,95,10.6,0,8,8,0.6,103,10/10,8/8
R5503,datatype-pandas,2169,1586,3755,418.5,47,766,813,61.8,4568,10/10,10/10
R5504,column-selection-pandas,1907,1354,3261,363.5,23,463,486,36.9,3747,10/10,10/10
R5505,merge-parameter-pandas,6,3,9,1.0,1,0,1,0.1,10,3/3,0/0
W5503,inplace-pandas,21,20,41,4.6,0,0,0,0.0,41,8/10,0/0
W5504,dataframe-conversion-pandas,351,191,542,60.4,14,214,228,17.3,770,10/10,9/10
W5505,scaler-missing-scikitlearn,99,66,165,18.4,4,24,28,2.1,193,9/10,10/10
R5506,hyperparameters-scikitlearn,392,420,812,90.5,9,11,20,1.5,832,10/10,10/10
R5507,hyperparameters-tensorflow,19,16,35,3.9,1,0,1,0.1,36,6/10,0/0
R5508,hyperparameters-pytorch,4,7,11,1.2,6,12,18,1.4,29,7/7,2/10
W5506,memory-release-tensorflow,0,0,0,0.0,0,0,0,0.0,0,0/0,0/0
W5507,deterministic-pytorch,51,66,117,13.0,15,229,244,18.5,361,3/3,10/10
W5508,randomness-control-numpy,523,499,1022,113.9,248,169,417,31.7,1439,2/2,9/10
W5509,randomness-control-scikitlearn,106,91,197,22.0,6,8,14,1.1,211,10/10,8/8
W5510,randomness-control-tensorflow,83,100,183,20.4,443,42,485,36.9,668,0/0,8/10
W5511,randomness-control-pytorch,32,51,83,9.3,12,207,219,16.6,302,0/0,7/10
W5512,randomness-control-dataloader-pytorch,86,83,169,18.8,25,428,453,34.4,622,10/10,10/10
W5513,missing-mask-tensorflow,1,0,1,0.1,84,7,91,6.9,92,0/0,6/7
W5514,missing-mask-pytorch,3,0,3,0.3,5,49,54,4.1,57,0/0,10/10
W5515,tensor-array-tensorflow,0,0,0,0.0,0,0,0,0.0,0,0/0,0/0
W5516,forward-pytorch,3,8,11,1.2,16,33,49,3.7,60,10/10,6/10
W5517,gradient-clear-pytorch,0,3,3,0.3,1,0,1,0.1,4,0/3,0/0
W5518,pipeline-not-used-scikitlearn,159,135,294,32.8,0,0,0,0.0,294,10/10,0/0
W5519,dependent-threshold-scikitlearn,7,3,10,1.1,0,0,0,0.0,10,3/3,0/0
W5520,dependent-threshold-tensorflow,0,0,0,0.0,0,0,0,0.0,0,0/0,0/0
W5521,dependent-threshold-pytorch,0,0,0,0.0,0,0,0,0.0,0,0/0,0/0