code,checker name,code smell name,notebooks1(1007),notebooks1(#projects that have code smells/1007),notebooks2(997),notebooks2(#projects that have code smells/997),projects1(100),projects1(#projects that have code smells/100),projects2(74),projects2(#projects that have code smells/74),notebook2 tp(10),project2 tp (10)
C5501,import-pandas, Import Convention Violation / Import Checker ,4,3,0,0,32,4,0,0,0/0,0/0
C5502,import-numpy,,7,6,6,5,256,17,19,2,6-Jun,10-Oct
C5503,import-pyplot,,2,2,0,0,1,1,0,0,0/0,0/0
C5504,import-sklearn,,9,8,19,11,1,1,3,1,10-Oct,3-Mar
C5505,import-tensorflow,,0,0,4,4,4,2,0,0,4-Apr,0/0
C5506,import-pytorch,,2,2,0,0,0,0,3,2,0/0,3-Mar
R5501,unnecessary-iteration-pandas,Unnecessary Iteration / Unnecessary Iteration Checker,8,5,15,12,3,1,0,0,10-Jun,0/0
W5501,dataframe-iteration-modification-pandas,,0,0,0,0,0,0,0,0,0/0,0/0
R5502,unnecessary-iteration-tensorflow,,0,0,0,0,0,0,0,0,0/0,0/0
E5501,nan-numpy,Nan Equivalence Comparison Misused / Nan Equality Checker,7,6,0,0,0,0,0,0,0/0,0/0
W5502,chain-indexing-pandas,chain indexing misuse / chain indexing checker,73,15,22,11,0,0,8,1,10-Oct,8-Aug
R5503,datatype-pandas,Columns and DataType Not Explicitly Set,2169,764,1601,724,47,11,766,29,10-Oct,10-Oct
R5504,column-selection-pandas,,1907,750,1366,667,23,4,463,27,10-Oct,10-Oct
R5505,merge-parameter-pandas,Merge API Parameter Not Explicitly Set,6,3,3,3,1,1,0,0,3-Mar,0/0
W5503,inplace-pandas,In Place Operation Misuse / In Place Checker (Unassigned DataFrame Checker),21,14,20,13,0,0,0,0,10-Aug,0/0
W5504,dataframe-conversion-pandas,Dataframe Coversion API Misuse / Dataframe Coversion API misuse Checker,351,114,193,60,14,4,214,11,10-Oct,10-Sep
W5505,scaler-missing-scikitlearn,No Scaling before scaling-sesitive operation / Scaler before scaling sesitive operation CheckeR,99,46,67,33,4,1,24,3,10-Sep,10-Oct
R5506,hyperparameters-scikitlearn,Hyperparameter Not Set / Hyperparameter Setting Checker (Hyperparameter Checker),392,134,423,137,9,4,11,1,10-Oct,10-Oct
R5507,hyperparameters-tensorflow,,19,14,16,12,1,1,0,0,10-Jun,0/0
R5508,hyperparameters-pytorch,,4,4,7,7,6,3,12,6,7-Jul,10-Feb
W5506,memory-release-tensorflow,Memory Not Freeing / Memory Release Checker,0,0,0,0,0,0,0,0,0/0,0/0
W5507,deterministic-pytorch,Not Using Deterministic Algorithm / Using deterministic algorithm checker,0,0,3,3,14,4,223,32,3-Mar,10-Oct
W5508,randomness-control-numpy,,8,8,2,2,239,37,151,28,2-Feb,10-Sep
W5509,randomness-control-scikitlearn,Randomness Uncontrolled / Randomness Controlling Checker,106,71,93,72,6,4,8,4,10-Oct,8-Aug
W5510,randomness-control-tensorflow,,1,1,0,0,424,31,11,7,0/0,10-Aug
W5511,randomness-control-pytorch,,0,0,0,0,11,4,202,29,0/0,10-Jul
W5512,randomness-control-dataloader-pytorch,,86,31,83,39,25,5,428,37,10-Oct,10-Oct
W5513,missing-mask-tensorflow,Missing the mask of the invalid value / PossibleInvalidValueChecker,1,1,0,0,84,12,7,2,0/0,7-Jun
W5514,missing-mask-pytorch,,3,2,0,0,5,2,49,15,0/0,10-Oct
W5515,tensor-array-tensorflow,TensorArray Not Used,0,0,0,0,0,0,0,0,0/0,0/0
W5516,forward-pytorch,Pytorch Call Method Misuse / pytorch call method Checker,3,2,22,4,364,10,43,7,10-Oct,10-Jun
W5517,gradient-clear-pytorch,Zero_grad not Used before Backward / Zero grad not using before backward checker,0,0,3,1,1,1,0,0,0/3,0/0
W5518,pipeline-not-used-scikitlearn,Data Leakage / Data Leakage Checker,159,42,135,26,0,0,0,0,10-Oct,0/0
W5519,dependent-threshold-scikitlearn,,7,7,3,3,0,0,0,0,3-Mar,0/0
W5520,dependent-threshold-tensorflow,denpendent threshold,0,0,0,0,0,0,0,0,0/0,0/0
W5521,dependent-threshold-pytorch,,0,0,0,0,0,0,0,0,0/0,0/0